Specimen,Location,Sex
DAY001,Eyasi,M
DAY002,Eyasi,M
DAY003,Eyasi,M
DAY004,Eyasi,M
DAY005,Eyasi,F
DAY006,Eyasi,M
DAY007,Eyasi,F
DAY008,Eyasi,M
DAY009,Eyasi,M
DAY010,Eyasi,M
DAY011,Eyasi,M
DAY012,Eyasi,M
DAY013,Kitangiri,F
DAY014,Kitangiri,U
DAY015,Kitangiri,F
DAY016,Kitangiri,U
DAY018,Kitangiri,M
DAY020,Kitangiri,M
DAY021,Kitangiri,U
DAY022,Kitangiri,M
DAY023,Kitangiri,F
DAY024,Kitangiri,U
DAY025,Kitangiri,M
DAY026,Kitangiri,M
DAY027,Kitangiri,U
DAY028,Kitangiri,M
DAY029,Kitangiri,U
DAY030,Singida,M
DAY031,Singida,F
DAY032,Singida,F
DAY033,Singida,F
DAY034,Singida,U
DAY035,Singida,M
DAY036,Singida,M
DAY037,Singida,U
DAY038,Singida,F
DAY039,Singida,F
DAY040,Singida,F
DAY041,Singida,M
DAY042,Manyara,F
DAY043,Manyara,F
DAY044,Manyara,F
DAY045,Manyara,M
DAY046,Manyara,F
DAY047,Manyara,U
DAY048,Manyara,F
DAY050,Manyara,M
DAY051,Manyara,U
DAY052,Manyara,F
DAY053,Manyara,U
DAY054,Manyara,M
DAY055,Manyara,U
DAY056,Manyara,U
DAY057,Manyara,F
DAY058,Manyara,F
DAY059,Manyara,U
DAY060,Manyara,M
DAY061,Manyara,M
DAY062,Manyara,U
DAY063,Manyara,M
DAY064,Manyara,M
DAY065,Manyara,U
DAY066,Manyara,F
DAY067,Manyara,U
DAY068,Manyara,M
DAY069,Manyara,U
DAY070,Manyara,M
GEN001,Manyara,U
GEN002,Manyara,U
GEN003,Manyara,U
GEN004,Manyara,U
GEN005,Manyara,U
GEN006,Manyara,M
GEN007,Manyara,U
GEN008,Manyara,M
GEN009,Manyara,U
GEN010,Manyara,M
GEN011,Manyara,F
GEN012,Manyara,F
GEN013,Manyara,M
GEN014,Manyara,F
GEN015,Manyara,U
GEN016,Manyara,F
GEN017,Manyara,F
GEN018,Manyara,F
GEN019,Manyara,F
GEN020,Manyara,U
GEN021,Manyara,U
GEN022,Manyara,U
GEN023,Manyara,U
GEN024,Manyara,U
GEN025,Manyara,U
GEN026,Manyara,U
GEN027,Manyara,U
GEN028,Manyara,U
GEN029,Manyara,M
GEN030,Manyara,U
HOL001,Manyara,U
TUR001,Sulungali,U
TUR002,Sulungali,F
TUR003,Sulungali,U
TUR004,Sulungali,M
TUR005,Sulungali,M
TUR006,Sulungali,U
TUR007,Sulungali,F
TUR008,Sulungali,F
TUR009,Sulungali,U
TUR010,Sulungali,U
TUR011,Sulungali,U
TUR012,Sulungali,U
TUR013,Sulungali,M
TUR014,Sulungali,F
TUR015,Sulungali,F
TUR016,Sulungali,U
TUR017,Sulungali,U
TUR018,Sulungali,U
TUR019,Sulungali,U
TUR020,Sulungali,U
TUR021,Sulungali,F
TUR022,Sulungali,U
TUR023,Sulungali,F
